Postcode|LGA_Code|LGA2|LGA
3945|20740|Bass Coast (S)|Bass Coast
3950|26170|South Gippsland (S)|South Gippsland
3951|26170|South Gippsland (S)|South Gippsland
3953|26170|South Gippsland (S)|South Gippsland
3954|26170|South Gippsland (S)|South Gippsland
3956|26170|South Gippsland (S)|South Gippsland
3957|26170|South Gippsland (S)|South Gippsland
3958|26170|South Gippsland (S)|South Gippsland
3959|26170|South Gippsland (S)|South Gippsland
3960|26170|South Gippsland (S)|South Gippsland
3962|26170|South Gippsland (S)|South Gippsland
3965|26170|South Gippsland (S)|South Gippsland
3966|26810|Wellington (S)|Wellington
3966|26170|South Gippsland (S)|South Gippsland
3971|26810|Wellington (S)|Wellington
3975|21610|Casey (C)|Casey
3976|21610|Casey (C)|Casey
3977|21610|Casey (C)|Casey
3978|21610|Casey (C)|Casey
3979|20740|Bass Coast (S)|Bass Coast
3980|21610|Casey (C)|Casey
3981|21450|Cardinia (S)|Cardinia
3984|20740|Bass Coast (S)|Bass Coast
3984|21450|Cardinia (S)|Cardinia
3987|26170|South Gippsland (S)|South Gippsland
3988|26170|South Gippsland (S)|South Gippsland
3991|20740|Bass Coast (S)|Bass Coast
3992|20740|Bass Coast (S)|Bass Coast
3995|20740|Bass Coast (S)|Bass Coast
3996|20740|Bass Coast (S)|Bass Coast
